Format,OpenTRACK,,,,,,
Name,Paul Ricard,,,,,,
Country,France,,,,,,
City,Paul Ricard,,,,,,
Type,Permanent,,,,,,
Config,Closed,,,,,,
Direction,Forward,,,,,,
Mirror,Off,,,,,,
Export Frequency,50,Hz,,,,,
,,,,,,,
Distance,Speed,Yaw Velocity,Lateral Acceleration,Elevation,Banking,Grip Factor,Sector
m,km/h,deg/s,G,m,deg,,
,,,,,,,
0,206.3,0.7,0.1,423.1,0,1,1
1,206.3,0.7,0.1,423.1,0,1,1
2,206.3,0.7,0.1,423.1,0,1,1
4,206.3,0.7,0.1,423.1,0,1,1
5,206.4,0.7,0.1,423.1,0,1,1
6,206.8,0.7,0,423.1,0,1,1
7,207.1,0.5,0,423.1,0,1,1
8,207.2,0.1,0.1,423.1,0,1,1
9,207.2,0,0.1,423.1,0,1,1
11,207.3,0.3,0.1,423.1,0,1,1
12,207.9,0.4,0.1,423.1,0,1,1
13,208.4,0.4,0.1,423.1,0,1,1
14,208.5,0.4,0.1,423.1,0,1,1
15,208.5,0.4,0,423.1,0,1,1
16,208.6,0.4,0,423.1,0,1,1
18,208.9,0.4,0,423.1,0,1,1
19,209.3,0.4,0.1,423.1,0,1,1
20,209.4,0.4,0.1,423.1,0,1,1
21,209.4,0.6,0.1,423.1,0,1,1
22,209.5,0.7,0.1,423.1,0,1,1
24,210.1,0.7,0.1,423.1,0,1,1
25,210.6,0.7,0,423.1,0,1,1
26,210.7,0.7,0.1,423.1,0,1,1
27,210.7,0.7,0.1,423.1,0,1,1
28,210.8,0.7,0.1,423,0,1,1
30,211.2,0.7,0.1,423,0,1,1
31,211.5,0.7,0.1,423,0,1,1
32,211.6,0.5,0.1,423,0,1,1
33,211.6,0.1,0.1,423,0,1,1
34,211.7,0,0.1,423.1,0,1,1
36,212.2,0.3,0,423.1,0,1,1
37,212.6,0.6,0.1,423.1,0,1,1
38,212.7,0.7,0.1,423.1,0,1,1
39,212.7,0.7,0.1,423.1,0,1,1
40,212.8,0.7,0.1,423.1,0,1,1
42,213.3,1.3,0.1,423.1,0,1,1
43,213.8,1.2,0.1,423.1,0,1,1
44,213.9,0.8,0,423.1,0,1,1
45,213.9,0.5,0,423.1,0,1,1
46,214,0.4,0,423,0,1,1
48,214.4,0.4,0.1,423,0,1,1
49,214.9,0.4,0.1,423,0,1,1
