Format,OpenTRACK,,,,,,
Name,Portaria,,,,,,
Country,Greece,,,,,,
City,Volos,,,,,,
Type,Hillclimb,,,,,,
Config,Open,,,,,,
Direction,Forward,,,,,,
Mirror,On,,,,,,
Export Frequency,20,Hz,,,,,
,,,,,,,
Distance,Speed,Yaw Velocity,Lateral Acceleration,Elevation,Banking,Grip Factor,Sector
km,km/h,deg/s,G,m,deg,,
,,,,,,,
0,0.1,-0.022096,0,379,0,1,1
0,0,-0.022096,0,379,0,1,1
0,0,-0.022096,0,379,0,1,1
0,0,-0.022096,0,379,0,1,1
0,0,-0.022096,0,379,0,1,1
0,0,-0.022096,0,379,0,1,1
0,0,-0.022096,0,379,0,1,1
0,0,-0.022096,0,379,0,1,1
0,0,-0.022096,0,379,0,1,1
0,0,-0.022096,0,379,0,1,1
0,0,-0.022096,0,379,0,1,1
0,0,-0.022096,0,379,0,1,1
0,0,-0.022096,0,379,0,1,1
0,0,-0.022096,0,379,0,1,1
0,0,-0.022096,0,379,0,1,1
0,0,-0.022096,0,379,0,1,1
0,0,-0.022096,0,379,0,1,1
0,0,-0.022096,0,379,0,1,1
0,0,-0.022096,0,379,0,1,1
0,0,-0.022096,0,379,0,1,1
0,0,-0.022096,0,379,0,1,1
0,0.183,-0.022096,0,379,0,1,1
0,0.428,-0.022096,0,379,0,1,1
0,0.835,-0.022096,0,379,0,1,1
0,1.552,-0.480691,0,379,0,1,1
0,2.376,-1.561289,0,379,0,1,1
0,3.2,-2.795211,0,379,0,1,1
0,4.414,-4.004839,0,379,0,1,1
0.001,5.672,-5.227303,0,379,0,1,1
0.001,8.336,-5.704003,-0.009101,379,0,1,1
0.001,13.585,-4.814544,-0.017488,379,0,1,1
0.002,17.629999,-4.014465,-0.020777,379,0,1,1
0.002,21.441,-3.259078,-0.022217,378.070007,0,1,1
0.003,25.120001,-2.554569,-0.021701,378,0,1,1
0.004,28.632,-1.756553,-0.018546,378,0,1,1
0.005,31.931999,-0.955558,-0.012663,378.01001,0,1,1
0.006,35.232002,-0.320034,-0.004206,379,0,1,1
0.007,38.659,0.230006,0.001734,379,0,1,1
0.008,42.450001,0.181877,-0.001529,379,0,1,1
0.009,46.029003,-0.34066,-0.011382,379,0,1,1
0.011,49.444,-1.019501,-0.025824,379,0,1,1
0.012,52.774998,-1.512703,-0.039418,379,0,1,1
